Bronx Rolling Sales File.  All Sales From May 2015 - April 2016.,,,,,,,,,,,,,,,,,,,,
Sales File as of 4/30/2016  Co-op Sales Files as of 4/30/2016,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 5/1/2016, Descriptive Data is as of 5/1/2016",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3041,1, ,C7,441 EAST 187 STREET                      ,            ,10458,18,2,20,3400,15300,1910,2,C7," $3,103,383 ",3/1/16
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3048,31, ,C7,550 EAST 182 STREET                      ,            ,10457,22,2,24,4009,18000,1913,2,C7," $3,100,000 ",5/18/15
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3050,8, ,C1,2235 BASSFORD AVENUE                     ,            ,10457,33,0,33,5592,28000,1925,2,C1," $4,250,000 ",5/5/15
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3050,102, ,C1,2254 BASSFORD AVENUE                     ,            ,10457,8,0,8,2727,8820,1910,2,C1, $-   ,4/6/16
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3051,24, ,C7,2280 BATHGATE AVENUE                     ,            ,10457,20,1,21,9464,16825,1911,2,C7, $-   ,4/6/16
2,BATHGATE                 ,08  RENTALS - ELEVATOR APARTMENTS           ,2,2903,3, ,D9,445 EAST 171 STREET                      ,            ,10457,46,0,46,12520,45046,2001,2,D9," $1,982,283 ",3/8/16
2,BATHGATE                 ,08  RENTALS - ELEVATOR APARTMENTS           ,2,3050,76, ,D1,2265 BATHGATE AVENUE                     ,            ,10457,17,0,17,4088,16086,2012,2,D1, $-   ,11/27/15
2,BATHGATE                 ,09  COOPS - WALKUP APARTMENTS               ,2,3045,19, ,C6,"2072 BATHGATE AVENUE, 8                  ",            ,10457,0,0,0,0,0,1911,2,C6," $30,000 ",5/18/15
2,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,2,3035,48, ,D4,"463 EAST 178TH STREET, 5B                ",            ,10457,0,0,0,0,0,1935,2,D4," $35,000 ",10/23/15
2,BATHGATE                 ,14  RENTALS - 4-10 UNIT                     ,2B,3052,27, ,S9,2324 BATHGATE AVE                        ,            ,10458,4,3,7,2390,6000,1931,2,S9," $708,000 ",3/14/16
2,BATHGATE                 ,21  OFFICE BUILDINGS                        ,4,2919,50, ,O7,505 CLAREMONT PARKWAY                    ,            ,10457,0,1,1,1826,1728,1930,4,O7, $-   ,11/18/15
2,BATHGATE                 ,21  OFFICE BUILDINGS                        ,4,3043,8, ,O5,1932 WASHINGTON AVENUE                   ,            ,10457,0,1,1,4525,18000,1931,4,O5," $2,650,000 ",12/7/15
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2900,10, ,K1,1834 WEBSTER AVENUE                      ,            ,10457,0,1,1,5740,11480,1988,4,K1, $-   ,5/6/15
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2909,28, ,K2,1891 WASHINGTON AVENUE                   ,            ,10457,0,1,1,1858,3198,1925,4,K2, $-   ,6/19/15
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2909,29, ,K1,1889 WASHINGTON AVENUE                   ,            ,10457,0,1,1,1451,1451,1952,4,K1, $-   ,6/19/15
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3028,3, ,V1,1973 WEBSTER AVENUE                      ,            ,10457,0,0,0,17637,0,0,4,K2," $2,800,000 ",11/16/15
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3030,145, ,K1,2252 WEBSTER AVENUE                      ,            ,10457,0,3,3,6480,5750,1913,4,K1," $1,600,000 ",8/3/15
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3032,29, ,K1,2472 WEBSTER AVENUE                      ,            ,10458,0,1,1,1546,750,1931,4,K1, $-   ,3/3/16
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3039,21, ,K1,2345 WASHINGTON AVENUE                   ,            ,10458,0,1,1,4239,4239,1931,4,K1," $1,350,000 ",8/11/15
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3053,28, ,K1,510 EAST 185 STREET                      ,            ,10458,0,1,1,21425,21250,1963,4,K1," $4,000,000 ",7/28/15
2,BATHGATE                 ,27  FACTORIES                               ,4,2918,34, ,F9,1869 BATHGATE AVENUE                     ,            ,10457,0,1,1,16682,16632,2001,4,F9," $1,400,000 ",12/30/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2900,7, ,G1,1828 WEBSTER AVENUE                      ,            ,10457,0,1,1,8870,8870,1925,4,G2," $3,200,000 ",5/6/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2900,12, ,G9,1838 WEBSTER AVENUE                      ,            ,10457,0,2,2,8444,1600,1900,4,G9, $-   ,5/6/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3029,26, ,G2,2090 WEBSTER AVENUE                      ,            ,10457,0,1,1,4360,1200,1996,4,G2," $575,000 ",10/20/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3032,27, ,G7,2470 WEBSTER AVENUE                      ,            ,10458,0,0,0,2053,0,0,4,G7," $1,300,000 ",3/3/16
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3032,129, ,G7,406 EAST 189 STREET                      ,            ,10458,0,0,0,1040,0,0,4,G7," $115,000 ",8/3/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3035,3, ,G7,443 EAST 178 STREET                      ,            ,10457,0,0,0,1300,0,0,4,G7, $-   ,12/18/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3035,4, ,G7,N/A EAST 178 STREET                      ,            ,10457,0,0,0,1299,0,0,4,G7, $-   ,12/18/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3035,60, ,G7,N/A EAST 178 STREET                      ,            ,10457,0,0,0,1299,0,0,4,G7, $-   ,12/18/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3035,61, ,G7,449 EAST 178 STREET                      ,            ,10457,0,0,0,1287,0,0,4,G7, $-   ,12/18/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3036,30, ,G7,454 EAST 180 STREET                      ,            ,10457,0,0,0,3448,0,0,4,G7," $600,000 ",11/2/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3036,31, ,G7,456 EAST 180 STREET                      ,            ,10457,0,0,0,5533,0,0,4,G7, $-   ,11/2/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3038,20, ,G7,456 EAST 183 STREET                      ,            ,10458,0,0,0,1485,0,0,4,G7, $-   ,6/5/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3039,37, ,G6,453 EAST 184 STREET                      ,            ,10458,0,0,0,5000,0,0,4,G6, $-   ,8/18/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3039,37, ,G6,453 EAST 184 STREET                      ,            ,10458,0,0,0,5000,0,0,4,G6," $100,000 ",7/1/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3045,25, ,G7,2086 BATHGATE AVENUE                     ,            ,10457,0,0,0,1163,0,0,4,G7," $125,000 ",10/29/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3045,26, ,G7,2088 BATHGATE AVENUE                     ,            ,10457,0,0,0,1139,0,0,4,G7, $-   ,10/29/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3045,44, ,GU,4329 3 AVENUE                            ,            ,10457,0,1,1,9936,2250,1989,4,GU, $-   ,1/28/16
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3045,49, ,G7,3 AVENUE                                 ,            ,10457,0,0,0,9344,0,0,4,G7, $-   ,6/15/15
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3048,14, ,G7,2176 BATHGATE AVENUE                     ,            ,10457,0,0,0,5530,0,0,4,G7," $400,000 ",2/3/16
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3051,23, ,G7,3 AVENUE                                 ,            ,10457,0,0,0,0,0,0,4,G7, $-   ,3/30/16
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3051,49, ,G2,4477 3 AVENUE                            ,            ,10457,0,1,1,7250,7250,1931,4,G9," $2,150,000 ",5/27/15
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2907,6, ,E1,4044-4046 PARK AVENUE                    ,            ,10457,0,1,1,7500,12430,1925,4,E1, $-   ,12/4/15
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2907,63, ,E1,453 EAST 174 STREET                      ,            ,10457,0,1,1,5029,5000,1954,4,E1, $-   ,12/4/15
2,BATHGATE                 ,30  WAREHOUSES                              ,4,3045,54, ,E1,4315 3 AVENUE                            ,            ,10457,0,1,1,9750,19256,1925,4,E1, $-   ,6/15/15
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3027,1, ,V1,4215 PARK AVENUE                         ,            ,10457,0,12,12,58771,0,1943,4,V1," $6,927,600 ",12/22/15
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3034,23, ,V1,448 EAST 178 STREET                      ,            ,10457,0,0,0,2598,0,0,4,V1, $-   ,12/18/15
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3034,24, ,V1,N/A EAST 178 STREET                      ,            ,10457,0,0,0,3240,0,0,4,V1, $-   ,12/18/15
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3043,46, ,V1,1904 BATHGATE AVENUE                     ,            ,10457,0,0,0,2115,0,0,4,V1, $-   ,8/3/15
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3051,26, ,V1,536 EAST 183 STREET                      ,            ,10458,0,0,0,3807,0,0,4,V1," $400,000 ",7/30/15
2,BATHGATE                 ,32  HOSPITAL AND HEALTH FACILITIES          ,4,3051,45, ,I5,4487 3 AVENUE                            ,            ,10457,0,1,1,19980,67815,1999,4,I5, $-   ,10/19/15
2,BATHGATE                 ,32  HOSPITAL AND HEALTH FACILITIES          ,4,3053,78, ,I9,2342 WASHINGTON AVENUE                   ,            ,10458,103,0,103,5607,17605,1931,4,I9," $2,600,000 ",1/19/16
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,2900,1, ,Z9,1816 WEBSTER AVENUE                      ,            ,10457,0,0,0,3082,0,0,4,Z9," $225,000 ",5/15/15
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,2909,26, ,Z9,1893 WASHINGTON AVENUE                   ,            ,10457,0,0,0,2673,0,0,4,Z9," $450,000 ",6/19/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4707,20, ,A5,1139 EAST 212TH STREET                   ,            ,10469,1,0,1,3203,1890,1945,1,A5," $365,000 ",3/15/16
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4709,50, ,A5,1142 EAST 215 STREET                     ,            ,10469,1,0,1,1710,1732,1945,1,A5," $393,000 ",3/22/16
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4709,150, ,A5,1146 E. 215TH STREET                     ,            ,10469,1,0,1,1710,1732,1945,1,A5," $386,900 ",8/31/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4711,99, ,A5,1315 HICKS STREET                        ,            ,10469,1,0,1,1710,1701,1950,1,A5," $330,000 ",11/4/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4711,100, ,A5,1313 HICKS STREET                        ,            ,10469,1,0,1,1710,1701,1950,1,A5," $386,000 ",6/18/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4723,6, ,A2,3477 MICKLE AVENUE                       ,            ,10469,1,0,1,1918,1024,1945,1,A2," $156,750 ",11/16/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4724,6, ,A2,3487 KINGSLAND AVENUE                    ,            ,10469,1,0,1,2288,1480,1925,1,A2," $330,000 ",10/20/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4728,106, ,A5,3416 KINGSLAND AVENUE                    ,            ,10469,1,0,1,1740,1224,1960,1,A5," $433,000 ",4/5/16
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4730,24, ,A2,3411 WICKHAM AVENUE                      ,            ,10469,1,0,1,4750,2046,1899,1,A2, $-   ,3/31/16
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4730,41, ,A5,3410 GUNTHER AVENUE                      ,            ,10469,1,0,1,1710,1714,1950,1,A5, $-   ,5/15/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,14, ,A5,3341 BOUCK AVENUE                        ,            ,10469,1,0,1,1900,1254,1940,1,A5," $385,000 ",12/21/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,14, ,A5,3341 BOUCK AVENUE                        ,            ,10469,1,0,1,1900,1254,1940,1,A5," $190,000 ",6/11/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,17, ,A5,3335 BOUCK AVENUE                        ,            ,10469,1,0,1,1900,1254,1940,1,A5," $194,688 ",1/28/16
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,66, ,A5,3344 BOUCK AVENUE                        ,            ,10469,1,0,1,1900,1681,1940,1,A5," $379,000 ",6/30/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4735,51, ,A5,3340 WILSON AVE.                         ,            ,10469,1,0,1,1900,1681,1930,1,A5, $-   ,5/21/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4735,83, ,S1,3304 WILSON AVENUE                       ,            ,10469,1,1,2,2208,2430,1930,1,S1," $320,000 ",10/20/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4736,42, ,A5,3310 FISH AVENUE                         ,            ,10469,1,0,1,1800,1690,1935,1,A5," $343,000 ",2/8/16
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4740,51, ,A5,3244 FISH AVENUE                         ,            ,10469,1,0,1,2500,1736,1935,1,A5," $467,500 ",8/13/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4741,25, ,A5,3215 FENTON AVENUE                       ,            ,10469,1,0,1,2050,1328,1920,1,A5, $-   ,3/23/16
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4741,26, ,A5,3213 FENTON AVENUE                       ,            ,10469,1,0,1,2050,1280,1920,1,A5, $-   ,8/5/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4742,5, ,A5,3257 CORSA AVENUE                        ,            ,10469,1,0,1,1800,1260,1950,1,A5, $-   ,1/26/16
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4743,129, ,A5,3307 EASTCHESTER ROAD                    ,            ,10469,1,0,1,1800,1633,1950,1,A5," $298,700 ",10/26/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4745,35, ,A1,1603 GIVAN AVENUE                        ,            ,10469,1,0,1,2774,1378,1920,1,A1," $110,000 ",7/23/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4749,60, ,A5,3340 KINGSLAND AVENUE                    ,            ,10469,1,0,1,2375,1960,1955,1,A5," $345,000 ",11/6/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4750,24, ,A5,3327 GUNTHER AVENUE                      ,            ,10469,1,0,1,1710,1539,1950,1,A5," $340,000 ",2/22/16
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4750,36, ,A5,3303 GUNTHER AVENUE                      ,            ,10469,1,0,1,1710,1890,1950,1,A5," $266,600 ",2/2/16
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4751,1, ,A9,3354 GUNTHER AVENUE                      ,            ,10469,1,0,1,2997,948,1960,1,A9," $335,000 ",8/14/15
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4756,13, ,A2,3259 ELY AVENUE                          ,            ,10469,1,0,1,2541,946,1960,1,A2, $-   ,5/15/15
